,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Steve Yzerman,1965,F,1514,692,1063,1755,924,184,,,,,440,202,50,94,9,637,393,33,139,11,1077,595,83,233,20,33.9%,,,,,,,,,,0.457,0.702,1.159,4602,15.0%,19,17,5270,3907,57.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mario Lemieux,1965,F,915,690,1033,1723,834,114,,,,,405,236,49,74,11,546,465,22,115,11,951,701,71,189,22,40.7%,,,,,,,,,,0.754,1.129,1.883,3633,19.0%,8,6,1414,1451,49.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Teemu Selänne,1970,F,1451,684,773,1457,660,95,,,,,422,255,7,110,9,438,333,2,116,13,860,588,9,226,22,40.4%,,,,,,,,,,0.471,0.533,1.004,4540,15.1%,123,96,956,1077,47.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Luc Robitaille,1966,F,1431,668,726,1394,1177,71,,,,,418,247,3,89,7,463,260,3,97,5,881,507,6,186,12,36.4%,,,,,,,,,,0.467,0.507,0.974,3961,16.9%,30,15,31,46,40.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Brendan Shanahan,1969,F,1524,656,698,1354,2489,151,,,,,396,237,23,109,12,414,270,14,126,10,810,507,37,235,22,37.4%,,,,,,,,,,0.43,0.458,0.888,5086,12.9%,205,146,343,366,48.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dave Andreychuk,1963,F,1639,640,698,1338,1121,32,,,,,356,274,10,77,7,402,293,3,103,4,758,567,13,180,11,42.4%,,,,,,,,,,0.39,0.426,0.816,4554,14.1%,5,30,2851,2294,55.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Joe Sakic,1969,F,1378,625,1016,1641,614,30,,,,,388,205,32,86,7,573,426,17,148,11,961,631,49,234,18,38.5%,,,,,,,,,,0.454,0.737,1.191,4621,13.5%,57,93,8297,7544,52.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jarome Iginla,1977,F,1554,625,675,1300,1040,30,,,,,415,197,13,101,7,435,231,9,105,9,850,428,22,206,16,32.9%,,,,,,,,,,0.402,0.434,0.837,4759,13.1%,1169,335,2879,2683,51.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bobby Hull,1939,F,1063,610,560,1170,634,249,,,,,437,154,19,98,0,380,170,10,74,0,817,324,29,172,0,27.7%,,,,,,,,,,0.574,0.527,1.101,4569,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dino Ciccarelli,1960,F,1232,608,592,1200,1425,-4,,,,,375,232,1,73,1,400,190,2,66,1,775,422,3,139,2,35.2%,,,,,,,,,,0.494,0.481,0.974,3706,16.4%,,,0,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jari Kurri,1960,F,1251,601,797,1398,545,304,,,,,407,155,39,72,7,514,240,43,89,6,921,395,82,161,13,28.3%,,,,,,,,,,0.48,0.637,1.118,3149,19.1%,,,108,192,36.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mark Recchi,1968,F,1652,577,956,1533,1033,0,,,,,359,200,18,91,6,573,369,14,129,10,932,569,32,220,16,37.1%,,,,,,,,,,0.349,0.579,0.928,3820,15.1%,528,174,1043,1145,47.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mike Bossy,1957,F,752,573,553,1126,210,380,,,,,385,180,8,80,4,354,198,1,88,1,739,378,9,168,5,33.6%,,,,,,,,,,0.762,0.735,1.497,2709,21.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Patrick Marleau,1979,F,1779,566,631,1197,527,-27,17:48,13:49,3:07,0:50,377,172,17,109,11,384,243,4,108,10,761,415,21,217,21,34.7%,1.072,1.195,2.268,0.92,0.937,1.857,1.854,2.619,4.473,0.318,0.355,0.673,4333,13.1%,1157,406,6836,7584,47.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Joe Nieuwendyk,1966,F,1257,564,562,1126,677,155,,,,,337,215,12,93,7,356,204,2,93,14,693,419,14,186,21,37.2%,,,,,,,,,,0.449,0.447,0.896,3242,17.4%,14,22,5996,4113,59.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Mats Sundin,1971,F,1346,564,785,1349,1093,73,,,,,373,160,31,96,15,467,293,25,126,14,840,453,56,222,29,33.6%,,,,,,,,,,0.419,0.583,1.002,4015,14.1%,182,134,10 218,8307,55.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mike Modano,1970,F,1499,561,813,1374,926,114,,,,,375,157,29,92,9,459,336,18,139,11,834,493,47,231,20,35.9%,,,,,,,,,,0.374,0.542,0.917,4273,13.1%,113,118,8749,8161,51.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Guy Lafleur,1951,F,1126,560,793,1353,399,446,,,,,403,154,3,98,0,525,266,2,116,0,928,420,5,214,0,31.0%,,,,,,,,,,0.497,0.704,1.202,3516,15.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Johnny Bucyk,1935,F,1540,556,813,1369,493,-7,,,,,393,159,4,92,0,529,284,0,95,0,922,443,4,187,0,32.4%,,,,,,,,,,0.361,0.528,0.889,3086,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ron Francis,1963,F,1731,549,1249,1798,977,-18,,,,,349,188,12,79,4,691,539,19,196,14,1040,727,31,275,18,40.4%,,,,,,,,,,0.317,0.722,1.039,3756,14.6%,,,4773,3940,54.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Michel Goulet,1960,F,1089,548,605,1153,825,99,,,,,353,179,16,63,3,402,194,9,63,3,755,373,25,126,6,32.4%,,,,,,,,,,0.503,0.556,1.059,3140,17.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Maurice Richard,1921,F,978,544,422,966,1287,18,,,,,397,143,4,84,0,309,111,2,90,0,706,254,6,174,0,26.3%,,,,,,,,,,0.556,0.431,0.988,166,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Stan Mikita,1940,F,1396,541,926,1467,1264,329,,,,,379,150,12,84,0,608,312,6,133,0,987,462,18,217,0,31.5%,,,,,,,,,,0.388,0.663,1.051,4482,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Keith Tkachuk,1972,F,1201,538,527,1065,2219,33,,,,,313,212,13,72,8,352,161,14,77,12,665,373,27,149,20,35.0%,,,,,,,,,,0.448,0.439,0.887,3530,15.2%,417,84,3892,3780,50.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Frank Mahovlich,1938,F,1181,533,570,1103,1054,266,,,,,400,122,11,82,0,383,182,5,86,0,783,304,16,168,0,27.6%,,,,,,,,,,0.451,0.483,0.934,3363,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Marian Hossa,1979,F,1309,525,609,1134,628,245,18:40,13:57,3:18,1:24,348,143,34,85,15,366,231,12,106,12,714,374,46,191,27,33.0%,1.289,1.495,2.784,1.142,1.202,2.344,1.98,3.198,5.178,0.401,0.465,0.866,4229,12.4%,662,294,65,126,34.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bryan Trottier,1956,F,1279,524,901,1425,912,449,,,,,344,161,19,69,1,619,262,20,116,4,963,423,39,185,5,29.7%,,,,,,,,,,0.41,0.704,1.114,2839,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pat Verbeek,1964,F,1424,522,540,1062,2905,-46,,,,,332,186,4,67,3,350,184,6,66,7,682,370,10,133,10,34.8%,,,,,,,,,,0.367,0.379,0.746,3285,15.9%,,,6,12,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Dale Hawerchuk,1963,F,1188,518,891,1409,740,-98,,,,,324,182,12,49,4,494,386,11,101,9,818,568,23,150,13,40.3%,,,,,,,,,,0.436,0.75,1.186,3754,13.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pierre Turgeon,1969,F,1294,515,812,1327,452,139,,,,,315,190,10,86,11,505,297,10,126,11,820,487,20,212,22,36.7%,,,,,,,,,,0.398,0.628,1.026,3154,16.3%,19,19,3794,3683,50.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Jeremy Roenick,1970,F,1363,513,703,1216,1463,153,,,,,301,184,28,92,5,436,247,20,119,8,737,431,48,211,13,35.4%,,,,,,,,,,0.376,0.516,0.892,3281,15.6%,298,77,4406,4409,49.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gilbert Perreault,1950,F,1191,512,814,1326,500,41,,,,,370,134,8,81,0,512,298,4,106,2,882,432,12,187,2,32.6%,,,,,,,,,,0.43,0.683,1.113,3077,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jean Beliveau,1931,F,1125,507,712,1219,1033,117,,,,,334,173,0,83,0,441,269,2,118,0,775,442,2,201,0,36.3%,,,,,,,,,,0.451,0.633,1.084,2627,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Peter Bondra,1968,F,1081,503,389,892,761,74,,,,,322,149,32,78,6,254,131,4,56,3,576,280,36,134,9,31.4%,,,,,,,,,,0.465,0.36,0.825,3531,14.3%,52,11,9,28,24.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Joe Mullen,1957,F,1062,502,561,1063,241,167,,,,,341,150,11,73,5,368,189,4,75,3,709,339,15,148,8,31.9%,,,,,,,,,,0.473,0.528,1.001,2787,18.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Lanny McDonald,1953,F,1111,500,506,1006,899,39,,,,,350,139,11,54,0,325,177,4,61,0,675,316,15,115,0,31.4%,,,,,,,,,,0.45,0.455,0.905,3445,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Glenn Anderson,1960,F,1129,498,601,1099,1120,201,,,,,334,151,13,85,5,428,166,7,73,3,762,317,20,158,8,28.8%,,,,,,,,,,0.441,0.532,0.973,3109,16.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jean Ratelle,1940,F,1280,491,776,1267,276,236,,,,,350,137,4,68,0,560,213,3,108,0,910,350,7,176,0,27.6%,,,,,,,,,,0.384,0.606,0.99,2916,16.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Norm Ullman,1935,F,1410,490,739,1229,710,7,,,,,366,116,8,60,0,554,172,13,111,0,920,288,21,171,0,23.4%,,,,,,,,,,0.348,0.524,0.872,3426,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sidney Crosby,1987,F,1039,486,839,1325,699,183,20:49,15:58,4:22,0:28,337,145,4,69,18,497,335,7,144,18,834,480,11,213,36,36.2%,1.348,2.326,3.674,1.218,1.797,3.015,1.914,4.423,6.337,0.468,0.808,1.275,3331,14.6%,892,502,11 820,10 867,52.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Brian Bellows,1964,F,1188,485,537,1022,718,-120,,,,,274,198,13,58,7,311,217,9,74,4,585,415,22,132,11,40.6%,,,,,,,,,,0.408,0.452,0.86,3587,13.5%,,,0,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Darryl Sittler,1950,F,1096,484,637,1121,948,57,,,,,324,150,10,57,0,467,160,10,79,0,791,310,20,136,0,27.7%,,,,,,,,,,0.442,0.581,1.023,3815,12.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sergei Fedorov,1969,F,1248,483,696,1179,839,261,,,,,303,144,36,93,15,411,256,29,115,16,714,400,65,208,31,33.9%,,,,,,,,,,0.387,0.558,0.945,3985,12.1%,162,106,6820,5802,54.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bernie Nicholls,1961,F,1127,475,734,1209,1292,-39,,,,,295,152,28,35,5,431,288,15,87,4,726,440,43,122,9,36.4%,,,,,,,,,,0.421,0.651,1.073,3231,14.7%,,,618,455,57.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Alexander Mogilny,1969,F,990,473,559,1032,432,81,,,,,312,141,20,66,1,337,208,14,76,6,649,349,34,142,7,33.8%,,,,,,,,,,0.478,0.565,1.042,2966,16.0%,14,5,38,91,29.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Denis Savard,1961,F,1196,473,865,1338,1336,103,,,,,326,127,20,56,1,491,361,13,87,4,817,488,33,143,5,36.5%,,,,,,,,,,0.395,0.723,1.119,3142,15.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pat Lafontaine,1965,F,865,468,545,1013,552,-6,,,,,301,156,11,59,4,312,233,0,58,5,613,389,11,117,9,38.4%,,,,,,,,,,0.541,0.63,1.171,2664,17.6%,,,666,561,54.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Alex Delvecchio,1932,F,1550,456,825,1281,383,24,,,,,330,111,15,75,0,544,265,16,118,0,874,376,31,193,0,29.4%,,,,,,,,,,0.294,0.532,0.826,3129,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Theoren Fleury,1968,F,1084,455,633,1088,1840,145,,,,,295,125,35,67,11,379,239,15,82,9,674,364,50,149,20,33.5%,,,,,,,,,,0.42,0.584,1.004,3611,12.6%,,,1667,1385,54.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Rod Brind'Amour,1970,F,1484,452,732,1184,1100,-39,,,,,275,149,28,67,8,456,248,28,121,12,731,397,56,188,20,33.5%,,,,,,,,,,0.305,0.493,0.798,3290,13.7%,387,231,11 027,7747,58.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Peter Stastny,1956,F,977,450,789,1239,824,-15,,,,,298,145,7,54,2,461,321,7,87,1,759,466,14,141,3,37.6%,,,,,,,,,,0.461,0.808,1.268,2374,19.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Doug Gilmour,1963,F,1474,450,964,1414,1301,129,,,,,279,153,18,56,3,603,335,26,144,15,882,488,44,200,18,34.5%,,,,,,,,,,0.305,0.654,0.959,2834,15.9%,,,2934,2641,52.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Rick Middleton,1953,F,1005,448,540,988,157,175,,,,,308,115,25,59,1,358,164,18,82,3,666,279,43,141,4,28.2%,,,,,,,,,,0.446,0.537,0.983,2272,19.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Daniel Alfredsson,1972,F,1246,444,713,1157,510,155,,,,,284,135,25,73,6,402,293,18,119,15,686,428,43,192,21,37.0%,,,,,,,,,,0.356,0.572,0.929,3471,12.8%,435,274,149,269,35.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ilya Kovalchuk,1983,F,926,443,433,876,544,-146,21:09,15:30,5:17,0:21,289,144,10,64,17,243,185,5,61,16,532,329,15,125,33,37.6%,1.357,1.326,2.682,1.208,1.015,2.223,1.764,2.267,4.031,0.478,0.468,0.946,3223,13.7%,399,186,140,248,36.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rick Vaive,1959,F,876,441,347,788,1445,-79,,,,,287,143,11,52,3,240,104,3,42,5,527,247,14,94,8,31.3%,,,,,,,,,,0.503,0.396,0.9,2603,16.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Steve Larmer,1961,F,1006,441,571,1012,532,203,,,,,255,162,24,60,1,335,205,31,85,4,590,367,55,145,5,36.3%,,,,,,,,,,0.438,0.568,1.006,2807,15.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Eric Staal,1984,F,1293,441,593,1034,828,-77,19:23,15:02,3:31,0:49,289,133,19,71,5,401,184,8,94,12,690,317,27,165,17,30.7%,1.055,1.419,2.474,0.891,1.237,2.128,1.75,2.421,4.172,0.341,0.459,0.8,3935,11.2%,897,484,9720,10 431,48.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Rick Tocchet,1964,F,1144,440,512,952,2970,84,,,,,297,130,13,50,2,377,132,3,79,6,674,262,16,129,8,27.5%,,,,,,,,,,0.385,0.448,0.832,2806,15.7%,,,3,7,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Steven Stamkos,1990,F,841,439,427,866,515,48,19:19,15:03,3:42,0:33,269,165,5,62,8,277,147,3,70,13,546,312,8,132,21,36.0%,1.621,1.576,3.197,1.275,1.313,2.587,3.174,2.827,6.001,0.522,0.508,1.03,2589,17.0%,910,358,5002,5062,49.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gary Roberts,1966,F,1224,438,472,910,2560,229,,,,,316,109,13,52,5,362,106,4,73,8,678,215,17,125,13,23.6%,,,,,,,,,,0.358,0.386,0.743,2374,18.5%,284,36,61,73,45.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pavel Bure,1971,F,702,437,342,779,484,42,,,,,282,121,34,59,6,212,115,15,52,3,494,236,49,111,9,30.3%,,,,,,,,,,0.623,0.487,1.11,3130,14.0%,,,30,89,25.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Rick Nash,1984,F,1060,437,368,805,750,-11,18:19,13:53,3:18,1:08,304,111,22,73,7,238,121,9,42,4,542,232,31,115,11,28.8%,1.35,1.137,2.486,1.239,0.97,2.209,1.904,2.075,3.978,0.412,0.347,0.759,3624,12.1%,853,345,147,235,38.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Vincent Damphousse,1967,F,1378,432,773,1205,1188,7,,,,,285,130,17,78,5,478,276,19,95,6,763,406,36,173,11,33.7%,,,,,,,,,,0.313,0.561,0.874,3511,12.3%,,,4659,4711,49.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Dave Taylor,1955,F,1111,431,638,1069,1589,186,,,,,304,123,4,47,3,439,196,3,69,3,743,319,7,116,6,29.8%,,,,,,,,,,0.388,0.574,0.962,2417,17.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Alexei Kovalev,1973,F,1316,430,599,1029,1304,-31,,,,,288,133,9,70,8,343,247,9,86,8,631,380,18,156,16,36.9%,,,,,,,,,,0.327,0.455,0.782,3585,12.0%,288,133,622,782,44.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Bill Guerin,1970,F,1263,429,427,856,1660,51,,,,,297,130,2,77,9,291,135,1,74,6,588,265,3,151,15,31.0%,,,,,,,,,,0.34,0.338,0.678,3693,11.6%,359,93,164,209,43.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Yvan Cournoyer,1943,F,968,428,435,863,233,254,,,,,275,152,1,68,0,273,162,0,51,0,548,314,1,119,0,36.4%,,,,,,,,,,0.442,0.449,0.892,2427,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Brian Propp,1959,F,1016,425,579,1004,825,298,,,,,283,120,22,59,1,348,203,28,80,3,631,323,50,139,4,32.2%,,,,,,,,,,0.418,0.57,0.988,3119,13.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Joe Thornton,1979,F,1679,425,1104,1529,1262,192,18:53,14:43,3:32,0:37,276,143,6,67,9,696,402,6,183,22,972,545,12,250,31,35.6%,0.804,2.089,2.893,0.67,1.69,2.36,1.445,4.062,5.507,0.253,0.658,0.911,3039,14.0%,766,396,13 329,12 032,52.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
