,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
82,Sean Couturier,1992,F,692,174,269,443,263,88,18:52,14:31,2:01,2:19,144,25,5,28,4,210,52,7,55,9,354,77,12,83,13,17.4%,0.8,1.236,2.036,0.859,1.253,2.113,1.072,2.23,3.301,0.251,0.389,0.64,1498,11.6%,529,352,5287,4907,51.86%
83,Tyler Toffoli,1992,F,577,173,171,344,174,82,16:05,13:15,1:58,0:51,126,39,8,32,5,141,27,3,43,11,267,66,11,75,16,19.2%,1.118,1.105,2.223,0.989,1.106,2.095,2.056,1.423,3.479,0.3,0.296,0.596,1559,11.1%,508,111,66,105,38.60%
84,Sam Gagner,1989,F,886,171,303,474,395,-129,16:09,13:28,2:24,0:15,117,53,1,15,3,217,83,3,29,5,334,136,4,44,8,28.7%,0.717,1.27,1.987,0.588,1.09,1.678,1.488,2.33,3.818,0.193,0.342,0.535,1850,9.2%,393,277,3275,3917,45.54%
85,Mark Stone,1992,F,504,170,276,446,175,100,18:56,15:06,2:42,1:07,129,36,5,30,5,200,72,4,39,11,329,108,9,69,16,24.2%,1.069,1.735,2.804,1.017,1.577,2.594,1.582,3.163,4.745,0.337,0.548,0.885,1078,15.8%,379,361,116,147,44.11%
86,Johnny Gaudreau,1993,F,517,170,318,488,106,22,19:00,15:43,3:15,0:01,130,40,0,32,9,213,105,0,55,14,343,145,0,87,23,29.7%,1.038,1.942,2.98,0.96,1.572,2.532,1.427,3.746,5.174,0.329,0.615,0.944,1351,12.6%,86,101,8,18,30.77%
87,Andrew Cogliano,1987,F,1066,170,240,410,369,32,14:32,12:29,0:33,1:30,141,9,20,30,3,213,19,8,30,2,354,28,28,60,5,6.8%,0.658,0.929,1.587,0.636,0.96,1.596,0.908,1.916,2.824,0.159,0.225,0.385,1713,9.9%,1125,449,1401,2071,40.35%
88,Jonathan Huberdeau,1993,F,591,168,330,498,287,6,17:54,14:47,2:58,0:08,128,39,1,19,3,217,113,0,59,11,345,152,1,78,14,30.5%,0.953,1.872,2.824,0.879,1.49,2.369,1.328,3.849,5.178,0.284,0.558,0.843,1353,12.4%,445,233,103,139,42.56%
89,Brock Nelson,1991,F,604,168,160,328,219,4,16:17,13:22,2:04,0:50,133,34,1,26,6,128,31,1,28,8,261,65,2,54,14,19.8%,1.024,0.976,2,0.988,0.951,1.939,1.627,1.483,3.11,0.278,0.265,0.543,1275,13.2%,468,365,3024,3351,47.44%
90,Derek Stepan,1990,F,759,168,317,485,194,90,18:19,14:21,2:32,1:25,122,33,13,32,4,215,93,9,56,9,337,126,22,88,13,26.0%,0.725,1.368,2.092,0.672,1.184,1.856,1.024,2.887,3.911,0.221,0.418,0.639,1804,9.3%,572,430,5658,6657,45.94%
91,Kyle Turris,1989,F,753,167,254,421,339,-2,16:47,13:48,2:23,0:35,125,39,3,32,6,172,80,2,47,7,297,119,5,79,13,28.3%,0.792,1.205,1.997,0.721,0.993,1.714,1.296,2.659,3.955,0.222,0.337,0.559,1553,10.8%,354,314,5039,5070,49.85%
92,Tyler Bozak,1986,F,764,167,282,449,222,-84,17:47,14:13,2:37,0:56,108,51,8,22,1,211,69,2,49,4,319,120,10,71,5,26.7%,0.737,1.245,1.982,0.596,1.164,1.76,1.529,2.068,3.597,0.219,0.369,0.588,1268,13.2%,699,372,6989,6002,53.80%
93,Frans Nielsen,1984,F,925,167,306,473,166,-37,16:27,12:14,2:16,1:56,113,34,20,20,1,184,113,9,45,11,297,147,29,65,12,31.1%,0.658,1.205,1.863,0.599,0.975,1.573,0.968,3.217,4.185,0.181,0.331,0.511,1683,9.9%,534,696,5699,6044,48.53%
94,Artemi Panarin,1991,F,433,165,308,473,128,113,19:41,16:29,3:09,0:01,123,42,0,30,7,228,80,0,64,16,351,122,0,94,23,25.8%,1.161,2.168,3.329,1.033,1.915,2.948,1.839,3.503,5.342,0.381,0.711,1.092,1132,14.6%,136,89,4,22,15.38%
95,Joshua Bailey,1989,F,919,162,349,511,233,-44,16:36,13:45,2:07,0:43,124,32,6,21,6,248,98,3,45,6,372,130,9,66,12,25.4%,0.637,1.372,2.009,0.588,1.176,1.764,0.985,3.017,4.002,0.176,0.38,0.556,1432,11.3%,505,452,1592,2021,44.06%
96,Tyler Johnson,1990,F,589,161,200,361,186,84,16:40,13:21,2:13,1:06,123,30,8,30,5,141,58,1,40,5,264,88,9,70,10,24.4%,0.983,1.221,2.205,0.939,1.076,2.014,1.376,2.661,4.037,0.273,0.34,0.613,1231,13.1%,452,247,3218,3244,49.80%
97,Michael Frol’k,1988,F,858,159,225,384,317,19,15:28,13:13,1:06,1:08,132,14,13,22,2,187,32,6,39,6,319,46,19,61,8,12.0%,0.718,1.017,1.735,0.698,0.988,1.686,0.889,2.032,2.921,0.185,0.262,0.448,1978,8.0%,617,412,252,346,42.14%
98,Reilly Smith,1991,F,630,158,221,379,168,109,16:53,13:32,2:05,1:15,115,36,7,21,2,165,49,7,32,5,280,85,14,53,7,22.4%,0.89,1.245,2.136,0.809,1.16,1.969,1.639,2.231,3.871,0.251,0.351,0.602,1291,12.2%,495,239,21,38,35.59%
99,Nino Niederreiter,1992,F,657,157,167,324,318,37,14:40,12:54,1:42,0:04,117,39,1,23,2,134,33,0,26,2,251,72,1,49,4,22.2%,0.977,1.039,2.016,0.828,0.949,1.777,2.088,1.767,3.855,0.239,0.254,0.493,1281,12.3%,996,185,74,100,42.53%
100,Jaden Schwartz,1992,F,560,154,231,385,153,74,17:41,14:39,2:14,0:48,114,36,4,21,5,185,44,2,43,4,299,80,6,64,9,20.8%,0.933,1.399,2.331,0.834,1.353,2.187,1.726,2.109,3.835,0.275,0.413,0.688,1242,12.4%,453,276,274,294,48.24%
101,Mikael Backlund,1989,F,741,154,240,394,363,24,16:51,13:41,1:35,1:35,111,28,15,30,7,183,48,9,36,7,294,76,24,66,14,19.3%,0.74,1.153,1.893,0.657,1.083,1.74,1.43,2.452,3.883,0.208,0.324,0.532,1710,9.0%,523,344,5085,5404,48.48%
102,Brandon Sutter,1989,F,770,152,137,289,149,-21,16:20,12:57,1:06,2:17,115,23,14,20,4,112,20,5,21,6,227,43,19,41,10,14.9%,0.725,0.653,1.378,0.692,0.674,1.365,1.626,1.414,3.041,0.197,0.178,0.375,1442,10.5%,613,492,5677,5735,49.75%
103,Tomas Hertl,1993,F,503,151,172,323,162,0,17:10,14:04,2:10,0:55,113,33,5,27,3,140,29,3,29,5,253,62,8,56,8,19.2%,1.049,1.195,2.244,0.958,1.187,2.145,1.809,1.59,3.399,0.3,0.342,0.642,1125,13.4%,516,347,2682,2393,52.85%
104,Ryan Johansen,1992,F,708,151,313,464,427,10,17:38,14:10,2:42,0:45,114,32,5,26,3,199,111,3,49,6,313,143,8,75,9,30.8%,0.725,1.503,2.228,0.681,1.189,1.871,1,3.467,4.467,0.213,0.442,0.655,1394,10.8%,764,276,5932,5253,53.04%
105,Patrik Laine,1998,F,351,150,121,271,139,-29,17:38,14:38,2:59,0:00,94,56,0,18,2,86,35,0,23,3,180,91,0,41,5,33.6%,1.453,1.172,2.625,1.098,1.004,2.102,3.194,1.996,5.19,0.427,0.345,0.772,998,15.0%,357,170,38,90,29.69%
106,Jason Zucker,1992,F,509,147,126,273,194,12,15:42,13:54,1:22,0:25,119,25,3,25,2,97,27,2,23,2,216,52,5,48,4,19.0%,1.103,0.945,2.048,1.009,0.822,1.831,2.131,2.301,4.432,0.289,0.248,0.536,1152,12.8%,544,229,25,71,26.04%
107,Jakob Silfverberg,1990,F,605,146,161,307,178,24,16:55,13:38,1:34,1:42,112,23,11,19,2,129,27,5,25,3,241,50,16,44,5,16.3%,0.856,0.944,1.8,0.815,0.938,1.753,1.455,1.708,3.163,0.241,0.266,0.507,1480,9.9%,382,345,88,181,32.71%
108,Alex Killorn,1989,F,641,146,197,343,370,77,16:53,13:21,2:15,1:16,114,29,3,27,4,156,37,4,42,5,270,66,7,69,9,19.2%,0.809,1.091,1.9,0.799,1.093,1.892,1.199,1.53,2.73,0.228,0.307,0.535,1275,11.5%,640,197,185,274,40.31%
109,Sebastian Aho,1997,F,366,145,175,320,134,54,18:40,15:03,2:43,0:53,101,32,12,27,5,112,60,3,32,4,213,92,15,59,9,28.8%,1.272,1.536,2.808,1.1,1.219,2.319,1.92,3.6,5.52,0.396,0.478,0.874,1011,14.3%,274,110,1454,1538,48.60%
110,Erik Karlsson,1990,D,788,143,482,625,372,-63,25:36,20:29,3:47,1:19,106,35,2,27,6,276,201,5,84,21,382,236,7,111,27,37.8%,0.425,1.433,1.859,0.394,1.026,1.42,0.703,4.04,4.744,0.181,0.612,0.793,2244,6.4%,660,1099,1,3,25.00%
111,Mark Giordano,1983,D,946,143,365,508,757,98,22:39,17:22,2:57,2:18,81,52,10,23,7,224,129,12,65,15,305,181,22,88,22,35.6%,0.4,1.022,1.422,0.296,0.818,1.113,1.113,2.762,3.875,0.151,0.386,0.537,2016,7.1%,1053,1785,0,0,0.00%
112,Alexander Radulov,1986,F,453,140,206,346,314,82,17:22,14:30,2:49,0:02,103,37,0,22,5,147,59,0,43,8,250,96,0,65,13,27.7%,1.067,1.57,2.637,0.94,1.341,2.281,1.734,2.765,4.5,0.309,0.455,0.764,1030,13.6%,310,294,23,32,41.82%
113,Alex Galchenyuk,1994,F,582,140,192,332,221,-66,15:02,12:46,2:14,0:01,98,42,0,21,7,127,65,0,35,5,225,107,0,56,12,32.2%,0.959,1.316,2.275,0.791,1.025,1.816,1.926,2.98,4.906,0.241,0.33,0.57,1176,11.9%,452,260,1085,1289,45.70%
114,Mats Zuccarello,1987,F,618,140,287,427,241,40,17:29,14:28,2:34,0:27,112,27,1,23,4,201,85,1,38,7,313,112,2,61,11,26.2%,0.777,1.592,2.369,0.752,1.349,2.1,1.02,3.211,4.23,0.227,0.464,0.691,1242,11.3%,644,406,89,155,36.48%
115,Lars Eller,1989,F,798,140,177,317,481,-23,15:05,12:37,0:51,1:37,120,13,7,25,3,148,22,7,31,1,268,35,14,56,4,11.0%,0.697,0.881,1.579,0.715,0.882,1.597,1.136,1.922,3.058,0.175,0.222,0.397,1395,10.0%,874,448,4208,4281,49.57%
116,Blake Comeau,1986,F,903,140,193,333,569,-94,15:20,13:00,0:45,1:35,118,12,10,23,3,162,25,6,26,2,280,37,16,49,5,11.1%,0.606,0.836,1.442,0.603,0.828,1.431,1.049,2.185,3.234,0.155,0.214,0.369,1520,9.2%,1877,325,767,987,43.73%
117,Brayden Point,1996,F,351,139,171,310,88,79,18:39,15:09,2:56,0:33,92,44,3,31,7,127,42,2,28,6,219,86,5,59,13,27.7%,1.274,1.567,2.841,1.038,1.433,2.47,2.554,2.438,4.992,0.396,0.487,0.883,802,17.3%,143,179,1884,1971,48.87%
118,Jack Eichel,1996,F,375,139,216,355,142,-69,20:19,16:28,3:25,0:25,97,41,1,25,8,128,86,2,40,8,225,127,3,65,16,35.8%,1.094,1.7,2.795,0.942,1.243,2.186,1.914,4.014,5.928,0.371,0.576,0.947,1324,10.5%,251,203,2465,3120,44.14%
119,Mathieu Perreault,1988,F,682,139,204,343,318,16,13:45,11:47,1:55,0:01,101,38,0,18,2,154,49,1,26,1,255,87,1,44,3,25.4%,0.889,1.305,2.194,0.753,1.149,1.902,1.734,2.236,3.969,0.204,0.299,0.503,1051,13.2%,822,226,1562,1533,50.47%
120,Rickard Rakell,1993,F,499,138,173,311,108,-16,16:50,14:31,2:07,0:11,110,28,0,26,6,123,47,3,30,6,233,75,3,56,12,24.1%,0.985,1.235,2.219,0.91,1.018,1.928,1.581,2.654,4.234,0.277,0.347,0.623,1230,11.2%,649,201,811,969,45.56%
121,Elias Lindholm,1994,F,578,138,227,365,140,-38,18:07,14:10,2:41,1:15,95,41,2,28,3,140,78,9,43,10,235,119,11,71,13,32.6%,0.791,1.301,2.091,0.696,1.026,1.722,1.58,3.005,4.585,0.239,0.393,0.631,1195,11.6%,694,289,2597,2381,52.17%
122,Bo Horvat,1995,F,498,137,174,311,139,-71,18:08,14:34,2:26,1:08,89,42,6,17,4,136,37,1,21,3,225,79,7,38,7,25.4%,0.91,1.155,2.065,0.736,1.124,1.86,2.079,1.832,3.911,0.275,0.349,0.624,1090,12.6%,420,336,5200,4599,53.07%
123,Nikolaj Ehlers,1996,F,416,136,167,303,145,49,16:29,14:32,1:55,0:01,108,27,1,25,2,133,34,0,26,3,241,61,1,51,5,20.1%,1.19,1.461,2.651,1.072,1.32,2.392,2.017,2.539,4.556,0.327,0.401,0.728,1111,12.2%,200,136,7,13,35.00%
124,Tyler Ennis,1989,F,643,136,186,322,208,-78,15:23,13:11,2:08,0:03,103,32,1,12,0,125,61,0,25,2,228,93,1,37,2,28.9%,0.824,1.127,1.952,0.729,0.884,1.613,1.389,2.648,4.037,0.212,0.289,0.501,1357,10.0%,588,273,649,947,40.66%
125,J.T. Miller,1993,F,553,135,213,348,274,25,16:07,13:32,2:06,0:28,98,34,3,30,7,146,64,3,33,4,244,98,6,63,11,28.2%,0.908,1.432,2.34,0.785,1.169,1.954,1.747,3.288,5.034,0.244,0.385,0.629,962,14.0%,905,271,1780,1624,52.29%
126,Marcus Johansson,1990,F,684,135,243,378,108,-27,16:30,13:42,2:25,0:23,102,32,1,25,4,166,76,1,38,10,268,108,2,63,14,28.6%,0.717,1.291,2.008,0.653,1.063,1.716,1.157,2.747,3.904,0.197,0.355,0.553,1028,13.1%,397,214,1142,1620,41.35%
127,Sam Reinhart,1995,F,454,134,161,295,90,-97,18:06,14:58,3:05,0:02,88,46,0,19,0,116,45,0,22,2,204,91,0,41,2,30.8%,0.978,1.175,2.154,0.777,1.024,1.8,1.97,1.927,3.898,0.295,0.355,0.65,988,13.6%,187,214,396,625,38.79%
128,Kristopher Letang,1987,D,863,134,448,582,612,80,24:01,18:31,3:33,1:55,86,44,4,26,6,258,181,9,75,20,344,225,13,101,26,38.7%,0.388,1.297,1.685,0.323,0.968,1.291,0.859,3.533,4.392,0.155,0.519,0.674,2243,6.0%,1407,1289,1,4,20.00%
129,Nick Bonino,1988,F,681,132,176,308,197,72,15:37,12:12,1:36,1:48,105,25,2,15,1,148,27,1,34,3,253,52,3,49,4,16.9%,0.744,0.993,1.737,0.758,1.068,1.826,1.368,1.477,2.845,0.194,0.258,0.452,1055,12.5%,262,706,4629,4655,49.86%
130,Jonathan Marchessault,1990,F,404,130,165,295,214,32,16:49,14:14,2:33,0:01,98,32,0,26,7,122,43,0,28,5,220,75,0,54,12,25.4%,1.148,1.457,2.605,1.021,1.272,2.293,1.859,2.498,4.357,0.322,0.408,0.73,1234,10.5%,511,100,616,814,43.08%
131,Kyle Connor,1996,F,304,129,120,249,84,-8,18:33,15:04,3:01,0:27,90,37,2,24,4,94,25,1,22,5,184,62,3,46,9,24.9%,1.372,1.277,2.649,1.178,1.23,2.408,2.419,1.634,4.054,0.424,0.395,0.819,845,15.3%,64,90,19,25,43.18%
132,Mikko Rantanen,1996,F,333,129,187,316,160,9,19:03,15:31,3:29,0:01,80,49,0,21,2,120,67,0,36,5,200,116,0,57,7,36.7%,1.22,1.768,2.988,0.928,1.392,2.321,2.525,3.453,5.978,0.387,0.562,0.949,797,16.2%,174,168,195,181,51.86%
133,Vincent Trocheck,1993,F,474,129,198,327,294,-29,18:41,14:54,2:32,1:14,90,32,7,16,2,136,60,2,23,3,226,92,9,39,5,28.1%,0.874,1.341,2.214,0.764,1.155,1.919,1.595,2.991,4.587,0.272,0.418,0.69,1240,10.4%,886,284,3996,3740,51.65%
134,Evgeny Kuznetsov,1992,F,520,129,289,418,264,68,16:59,14:22,2:32,0:03,93,34,2,24,7,203,86,0,52,9,296,120,2,76,16,28.7%,0.876,1.963,2.84,0.746,1.629,2.375,1.541,3.899,5.44,0.248,0.556,0.804,1099,11.7%,332,144,2706,3513,43.51%
135,Oliver Ekman-Larsson,1991,D,769,128,260,388,482,-109,23:25,18:19,3:18,1:47,69,55,4,31,7,152,106,2,35,4,221,161,6,66,11,41.5%,0.426,0.866,1.292,0.294,0.647,0.941,1.297,2.5,3.798,0.166,0.338,0.505,1730,7.4%,1344,694,0,2,0.00%
136,Viktor Arvidsson,1993,F,385,127,112,239,172,45,16:33,13:43,2:03,0:47,100,17,10,25,2,93,16,3,24,5,193,33,13,49,7,13.8%,1.195,1.054,2.249,1.136,1.057,2.193,1.289,1.213,2.502,0.33,0.291,0.621,1114,11.4%,143,217,37,75,33.04%
137,Kevin Hayes,1992,F,505,127,174,301,156,20,16:11,13:22,1:31,1:17,96,21,10,21,4,135,32,7,24,1,231,53,17,45,5,17.6%,0.932,1.277,2.21,0.853,1.2,2.053,1.643,2.504,4.147,0.251,0.345,0.596,1017,12.5%,402,173,2520,2907,46.43%
138,Ondrej Palat,1991,F,551,125,249,374,177,132,17:10,13:46,2:11,1:11,89,29,7,25,2,185,60,4,37,3,274,89,11,62,5,23.8%,0.793,1.579,2.372,0.703,1.462,2.165,1.44,2.98,4.42,0.227,0.452,0.679,1047,11.9%,959,405,42,153,21.54%
139,Drew Doughty,1989,D,975,125,411,536,661,29,26:15,20:18,3:29,2:27,58,65,2,27,7,232,172,7,76,16,290,237,9,103,23,44.2%,0.293,0.963,1.256,0.176,0.703,0.879,1.145,3.029,4.173,0.128,0.422,0.55,2064,6.1%,1714,1274,1,2,33.33%
140,Mikael Granlund,1992,F,591,124,255,379,164,21,18:04,14:40,2:24,0:59,87,29,8,23,4,176,76,3,48,3,263,105,11,71,7,27.7%,0.696,1.432,2.129,0.602,1.218,1.82,1.22,3.196,4.416,0.21,0.431,0.641,1162,10.7%,417,388,2046,2083,49.55%
141,Cal Clutterbuck,1987,F,874,124,123,247,626,-26,13:50,11:26,0:43,1:39,96,12,16,23,2,109,7,7,22,2,205,19,23,45,4,7.7%,0.615,0.61,1.226,0.576,0.654,1.23,1.129,0.659,1.787,0.142,0.141,0.283,1483,8.4%,3333,407,58,98,37.18%
142,Jake Guentzel,1994,F,299,121,136,257,120,29,18:26,15:58,2:13,0:14,94,26,1,16,3,107,28,1,22,2,201,54,2,38,5,21.0%,1.317,1.48,2.797,1.181,1.345,2.526,2.342,2.522,4.863,0.405,0.455,0.86,747,16.2%,397,162,108,127,45.96%
143,Boone Jenner,1993,F,530,121,119,240,309,-16,16:35,14:06,1:30,0:58,95,21,5,20,0,101,17,1,17,1,196,38,6,37,1,15.8%,0.825,0.812,1.637,0.762,0.81,1.573,1.574,1.274,2.848,0.228,0.225,0.453,1261,9.6%,1291,499,2250,1915,54.02%
144,Alex DeBrincat,1997,F,286,119,110,229,48,-1,17:20,14:06,3:03,0:09,80,38,1,15,5,78,32,0,16,2,158,70,1,31,7,30.6%,1.44,1.331,2.771,1.189,1.159,2.349,2.601,2.19,4.792,0.416,0.385,0.801,763,15.6%,203,92,64,90,41.56%
145,Tanner Pearson,1992,F,505,118,114,232,158,10,15:10,12:45,1:34,0:50,98,17,3,23,6,92,20,2,22,4,190,37,5,45,10,15.9%,0.924,0.893,1.816,0.912,0.857,1.769,1.281,1.507,2.789,0.234,0.226,0.459,1019,11.6%,703,224,75,107,41.21%
146,Roman Josi,1990,D,680,117,329,446,254,55,24:46,19:42,2:54,2:09,81,35,1,22,6,205,116,8,53,9,286,151,9,75,15,33.9%,0.417,1.172,1.588,0.363,0.918,1.281,1.06,3.514,4.575,0.172,0.484,0.656,1872,6.3%,474,1289,0,2,0.00%
147,Dylan Larkin,1996,F,433,116,173,289,280,-67,19:11,15:57,2:22,0:50,88,23,5,14,4,139,32,2,30,7,227,55,7,44,11,19.0%,0.838,1.249,2.087,0.764,1.206,1.97,1.34,1.865,3.205,0.268,0.4,0.667,1275,9.1%,378,189,2833,2692,51.28%
148,Andrew Shaw,1991,F,544,116,131,247,573,24,15:14,12:45,2:15,0:13,88,28,0,14,2,104,27,0,26,0,192,55,0,40,2,22.3%,0.839,0.948,1.787,0.76,0.899,1.659,1.365,1.316,2.681,0.213,0.241,0.454,1013,11.5%,1044,218,1711,1842,48.16%
149,Alex Pietrangelo,1990,D,799,116,357,473,257,97,24:37,19:14,2:44,2:38,82,34,0,27,4,228,120,9,66,16,310,154,9,93,20,32.6%,0.354,1.089,1.443,0.32,0.89,1.21,0.93,3.281,4.211,0.145,0.447,0.592,1927,6.0%,543,1455,0,2,0.00%
150,Charlie Coyle,1992,F,621,115,186,301,231,35,16:24,14:03,1:41,0:40,98,12,5,25,0,161,24,1,40,8,259,36,6,65,8,12.0%,0.677,1.095,1.772,0.674,1.107,1.781,0.685,1.37,2.055,0.185,0.3,0.485,1100,10.5%,820,399,2010,2311,46.52%
151,John Carlson,1990,D,809,115,407,522,270,87,23:23,18:04,2:47,2:31,84,30,1,25,2,241,162,4,75,18,325,192,5,100,20,36.8%,0.365,1.29,1.655,0.345,0.989,1.334,0.798,4.307,5.105,0.142,0.503,0.645,1858,6.2%,691,1573,1,4,20.00%
152,William Karlsson,1993,F,466,114,155,269,66,84,16:47,13:29,1:36,1:41,88,19,7,21,2,117,29,9,25,1,205,48,16,46,3,17.8%,0.874,1.188,2.062,0.839,1.116,1.955,1.517,2.315,3.832,0.245,0.333,0.577,835,13.7%,261,246,2945,3099,48.73%
153,Victor Hedman,1990,D,816,114,404,518,588,121,23:08,18:20,2:29,2:19,94,20,0,19,7,237,156,11,76,12,331,176,11,95,19,34.0%,0.362,1.283,1.645,0.377,0.95,1.327,0.592,4.618,5.21,0.14,0.495,0.635,1669,6.8%,879,1245,1,2,33.33%
154,Darren Helm,1987,F,744,112,139,251,238,-13,14:35,12:11,0:23,2:01,93,6,13,15,2,125,6,8,24,3,218,12,21,39,5,4.8%,0.619,0.768,1.387,0.615,0.827,1.443,1.259,1.259,2.519,0.151,0.187,0.337,1442,7.8%,1156,302,2257,2143,51.30%
155,Carl Sšderberg,1985,F,597,110,187,297,210,-24,16:03,13:00,1:49,1:14,77,29,4,13,0,142,42,3,31,4,219,71,7,44,4,23.9%,0.688,1.17,1.858,0.595,1.098,1.693,1.601,2.319,3.921,0.184,0.313,0.497,1123,9.8%,505,396,2618,2851,47.87%
156,P.K. Subban,1989,D,757,110,335,445,823,13,23:59,18:38,3:23,1:58,60,49,1,17,4,192,140,3,60,9,252,189,4,77,13,42.5%,0.363,1.107,1.47,0.255,0.816,1.072,1.147,3.277,4.424,0.145,0.443,0.588,1849,6.0%,975,1022,1,2,33.33%
157,Ryan Strome,1993,F,547,109,194,303,307,25,16:09,13:12,2:11,0:45,88,20,1,14,2,135,55,4,36,6,223,75,5,50,8,24.8%,0.74,1.317,2.058,0.731,1.122,1.853,1.003,2.757,3.76,0.199,0.355,0.554,1053,10.4%,443,172,1979,2378,45.42%
158,Carl Hagelin,1988,F,660,107,175,282,273,109,15:20,13:15,0:11,1:53,99,2,6,26,1,168,0,7,27,1,267,2,13,53,2,0.7%,0.634,1.037,1.67,0.678,1.151,1.83,0.928,0,0.928,0.162,0.265,0.427,1358,7.9%,648,271,66,116,36.26%
159,Brad Richardson,1985,F,825,107,139,246,408,-30,13:39,11:44,0:10,1:44,90,2,15,21,2,131,1,7,21,3,221,3,22,42,5,1.2%,0.57,0.741,1.311,0.557,0.811,1.369,0.849,0.425,1.274,0.13,0.168,0.298,1245,8.6%,815,395,3693,3444,51.74%
160,Matthew Tkachuk,1997,F,346,106,168,274,353,29,17:06,14:16,2:49,0:01,73,33,0,10,2,113,55,0,28,3,186,88,0,38,5,32.1%,1.074,1.702,2.777,0.887,1.373,2.261,2.028,3.38,5.408,0.306,0.486,0.792,866,12.2%,501,82,24,40,37.50%
161,Dougie Hamilton,1993,D,607,106,235,341,390,72,20:27,17:14,2:23,0:49,77,28,1,22,6,157,76,2,51,9,234,104,3,73,15,30.5%,0.512,1.136,1.648,0.441,0.9,1.342,1.157,3.139,4.296,0.175,0.387,0.562,1676,6.3%,731,637,1,3,25.00%
162,Cody Eakin,1991,F,632,106,138,244,256,-10,15:27,12:50,1:03,1:34,85,11,10,17,2,121,13,4,26,2,206,24,14,43,4,9.8%,0.651,0.847,1.498,0.629,0.895,1.524,0.992,1.172,2.164,0.168,0.218,0.386,942,11.3%,635,355,4198,4171,50.16%
163,Duncan Keith,1983,D,1192,105,520,625,653,144,24:55,19:29,2:30,2:55,70,30,5,18,3,351,154,15,95,22,421,184,20,113,25,29.4%,0.212,1.05,1.262,0.181,0.907,1.088,0.6,3.08,3.68,0.088,0.436,0.524,2447,4.3%,662,1896,0,1,0.00%
164,Evgeny Dadonov,1989,F,335,104,118,222,46,-17,16:50,13:58,2:51,0:00,78,26,0,15,1,95,23,0,18,0,173,49,0,33,1,22.1%,1.106,1.254,2.36,0.999,1.217,2.216,1.63,1.442,3.072,0.31,0.352,0.663,724,14.4%,188,139,3,14,17.65%
165,Mitchell Marner,1997,F,355,103,255,358,122,48,19:04,15:24,2:38,1:01,81,21,1,19,1,164,86,5,46,9,245,107,6,65,10,29.9%,0.913,2.26,3.173,0.889,1.799,2.688,1.345,5.509,6.854,0.29,0.718,1.008,913,11.3%,148,185,82,92,47.13%
166,William Nylander,1996,F,357,103,160,263,90,23,16:36,14:15,2:20,0:01,74,29,0,20,4,114,46,0,25,5,188,75,0,45,9,28.5%,1.042,1.619,2.661,0.872,1.343,2.215,2.084,3.306,5.39,0.289,0.448,0.737,890,11.6%,88,82,848,818,50.90%
167,Nick Bjugstad,1992,F,483,103,121,224,215,-35,14:58,12:59,1:47,0:10,85,17,1,17,0,90,30,1,15,1,175,47,2,32,1,21.0%,0.855,1.004,1.859,0.813,0.861,1.674,1.173,2.071,3.244,0.213,0.251,0.464,1151,9.0%,729,166,2301,2402,48.93%
168,Jean-Gabriel Pageau,1992,F,489,103,109,212,180,20,16:19,13:28,0:53,1:57,76,12,15,18,2,92,10,7,18,4,168,22,22,36,6,10.4%,0.774,0.819,1.593,0.692,0.838,1.53,1.641,1.367,3.008,0.211,0.223,0.434,906,11.4%,970,392,3590,3209,52.80%
169,Keith Yandle,1986,D,1032,102,498,600,602,-56,21:17,17:18,3:28,0:31,64,38,0,16,1,250,244,4,77,10,314,282,4,93,11,47.0%,0.279,1.36,1.638,0.215,0.84,1.055,0.636,4.087,4.723,0.099,0.483,0.581,2301,4.4%,433,1006,0,1,0.00%
170,Andre Burakovsky,1995,F,439,101,133,234,109,49,13:21,12:04,1:16,0:00,88,13,0,22,3,104,29,0,18,2,192,42,0,40,5,17.9%,1.033,1.361,2.394,0.996,1.177,2.173,1.396,3.114,4.509,0.23,0.303,0.533,691,14.6%,213,172,125,157,44.33%
171,Brett Connolly,1992,F,527,101,93,194,226,12,12:26,11:17,1:07,0:00,85,16,0,20,1,82,11,0,10,0,167,27,0,30,1,13.9%,0.925,0.851,1.776,0.857,0.827,1.683,1.616,1.111,2.728,0.192,0.176,0.368,724,14.0%,610,156,118,171,40.83%
172,Alex Chiasson,1990,F,563,101,101,202,329,-38,13:51,11:10,1:53,0:47,65,32,4,15,1,69,28,4,14,0,134,60,8,29,1,29.7%,0.777,0.777,1.554,0.62,0.658,1.278,1.808,1.582,3.39,0.179,0.179,0.359,797,12.7%,593,171,102,175,36.82%
